Test Number,Data Layer,Application Layer,Test,Name Lookup,Connect,App Connect,PreTransfer,Redirect,Start Transfer,Total Time
1,MySQL,Python,python-mysql-data-aggre-1,0.000023,0.000271,0.000000,0.000746,0.000000,0.087582,0.087616
2,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000075,0.000000,0.000090,0.000000,0.054515,0.054550
3,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000120,0.000000,0.000134,0.000000,0.052764,0.052798
4,MySQL,Python,python-mysql-data-aggre-1,0.000018,0.000086,0.000000,0.000098,0.000000,0.052774,0.052815
5,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000100,0.000000,0.000114,0.000000,0.053240,0.053276
6,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000117,0.000000,0.000131,0.000000,0.053923,0.053953
7,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000078,0.000000,0.000091,0.000000,0.052995,0.053032
8,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000197,0.000000,0.000214,0.000000,0.054967,0.055003
9,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000236,0.000000,0.000251,0.000000,0.053280,0.053312
10,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000070,0.000000,0.000085,0.000000,0.057528,0.057565
11,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000232,0.000000,0.000248,0.000000,0.053584,0.053644
12,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000078,0.000000,0.000091,0.000000,0.049696,0.049737
13,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000068,0.000000,0.000080,0.000000,0.045879,0.045919
14,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000142,0.000000,0.000155,0.000000,0.045261,0.045328
15,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000104,0.000000,0.000116,0.000000,0.046559,0.046599
16,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000067,0.000000,0.000078,0.000000,0.045700,0.045762
17,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000060,0.000000,0.000072,0.000000,0.045797,0.045829
18,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000068,0.000000,0.000079,0.000000,0.055653,0.055688
19,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000065,0.000000,0.000076,0.000000,0.045450,0.045490
20,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000125,0.000000,0.000140,0.000000,0.046194,0.046237
