Test Number,Data Layer,Application Layer,Test,Name Lookup,Connect,App Connect,PreTransfer,Redirect,Start Transfer,Total Time
1,MySQL,Python,python-mysql-data-aggre-1,0.000319,0.000529,0.000000,0.000548,0.000000,0.077371,0.077403
2,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000127,0.000000,0.000139,0.000000,0.045924,0.045973
3,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000064,0.000000,0.000074,0.000000,0.046692,0.046723
4,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000112,0.000000,0.000124,0.000000,0.046862,0.046897
5,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000077,0.000000,0.000089,0.000000,0.045219,0.045262
6,MySQL,Python,python-mysql-data-aggre-1,0.000023,0.000115,0.000000,0.000127,0.000000,0.046558,0.046637
7,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000111,0.000000,0.000125,0.000000,0.045663,0.045696
8,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000113,0.000000,0.000126,0.000000,0.046583,0.046616
9,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000071,0.000000,0.000082,0.000000,0.045194,0.045234
10,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000211,0.000000,0.000226,0.000000,0.045893,0.045945
11,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000136,0.000000,0.000149,0.000000,0.046113,0.046152
12,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000089,0.000000,0.000103,0.000000,0.044829,0.044883
13,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000152,0.000000,0.000164,0.000000,0.045864,0.045909
14,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000096,0.000000,0.000107,0.000000,0.045976,0.046025
15,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000121,0.000000,0.000134,0.000000,0.045290,0.045330
16,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000071,0.000000,0.000082,0.000000,0.045473,0.045513
17,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000158,0.000000,0.000172,0.000000,0.045117,0.045163
18,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000071,0.000000,0.000083,0.000000,0.056998,0.057043
19,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000130,0.000000,0.000145,0.000000,0.044842,0.044881
20,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000068,0.000000,0.000079,0.000000,0.046476,0.046518
21,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000075,0.000000,0.000086,0.000000,0.045031,0.045077
22,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000108,0.000000,0.000120,0.000000,0.056205,0.056247
23,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000071,0.000000,0.000084,0.000000,0.046003,0.046047
24,MySQL,Python,python-mysql-data-aggre-1,0.000020,0.000088,0.000000,0.000100,0.000000,0.045698,0.045742
25,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000073,0.000000,0.000086,0.000000,0.046053,0.046089
26,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000140,0.000000,0.000152,0.000000,0.045338,0.045376
27,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000127,0.000000,0.000139,0.000000,0.045948,0.045987
28,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000143,0.000000,0.000155,0.000000,0.045402,0.045439
29,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000094,0.000000,0.000106,0.000000,0.045181,0.045219
30,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000083,0.000000,0.000094,0.000000,0.047255,0.047304
31,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000159,0.000000,0.000174,0.000000,0.045346,0.045381
32,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000159,0.000000,0.000170,0.000000,0.044710,0.044752
33,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000109,0.000000,0.000121,0.000000,0.046197,0.046251
34,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000067,0.000000,0.000077,0.000000,0.046620,0.046658
35,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000087,0.000000,0.000100,0.000000,0.046597,0.046635
36,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000174,0.000000,0.000186,0.000000,0.044838,0.044883
37,MySQL,Python,python-mysql-data-aggre-1,0.000017,0.000116,0.000000,0.000131,0.000000,0.045235,0.045285
38,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000072,0.000000,0.000084,0.000000,0.044462,0.044497
39,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000075,0.000000,0.000087,0.000000,0.044612,0.044648
40,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000123,0.000000,0.000139,0.000000,0.044897,0.044932
41,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000110,0.000000,0.000123,0.000000,0.045189,0.045234
42,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000066,0.000000,0.000077,0.000000,0.044595,0.044643
43,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000108,0.000000,0.000119,0.000000,0.045400,0.045438
44,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000073,0.000000,0.000084,0.000000,0.045256,0.045291
45,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000067,0.000000,0.000080,0.000000,0.044959,0.045004
46,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000072,0.000000,0.000083,0.000000,0.045086,0.045119
47,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000081,0.000000,0.000102,0.000000,0.045432,0.045468
48,MySQL,Python,python-mysql-data-aggre-1,0.000015,0.000068,0.000000,0.000081,0.000000,0.045083,0.045119
49,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000072,0.000000,0.000084,0.000000,0.044841,0.044889
50,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000107,0.000000,0.000119,0.000000,0.045543,0.045591
51,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000107,0.000000,0.000122,0.000000,0.045759,0.045808
52,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000072,0.000000,0.000083,0.000000,0.045113,0.045154
53,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000074,0.000000,0.000085,0.000000,0.045246,0.045282
54,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000077,0.000000,0.000088,0.000000,0.045353,0.045392
55,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000069,0.000000,0.000080,0.000000,0.044648,0.044709
56,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000116,0.000000,0.000128,0.000000,0.046041,0.046084
57,MySQL,Python,python-mysql-data-aggre-1,0.000016,0.000137,0.000000,0.000148,0.000000,0.046256,0.046290
58,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000069,0.000000,0.000081,0.000000,0.044241,0.044292
59,MySQL,Python,python-mysql-data-aggre-1,0.000019,0.000083,0.000000,0.000095,0.000000,0.046298,0.046355
60,MySQL,Python,python-mysql-data-aggre-1,0.000018,0.000091,0.000000,0.000108,0.000000,0.044796,0.044859
61,MySQL,Python,python-mysql-data-aggre-1,0.000014,0.000127,0.000000,0.000139,0.000000,0.044556,0.044612
62,MySQL,Python,python-mysql-data-aggre-1,0.000013,0.000111,0.000000,0.000124,0.000000,0.044516,0.044548
