Test Number,Data Layer,Application Layer,Test,Name Lookup,Connect,App Connect,PreTransfer,Redirect,Start Transfer,Total Time
75,MySQL,Python,python-mysql-data-filter-1,0.000028,0.000527,0.000000,0.000564,0.000000,0.002215,0.002223
76,MySQL,Python,python-mysql-data-filter-1,0.000030,0.001601,0.000000,0.001674,0.000000,0.002447,0.002461
77,MySQL,Python,python-mysql-data-filter-1,0.000027,0.000132,0.000000,0.000211,0.000000,0.001882,0.001890
78,MySQL,Python,python-mysql-data-filter-1,0.000025,0.000430,0.000000,0.000464,0.000000,0.001073,0.001078
79,MySQL,Python,python-mysql-app-filter-1,0.000055,0.000791,0.000000,0.000823,0.000000,0.002244,0.002255
80,MySQL,Python,python-mysql-app-filter-1,0.000021,0.000103,0.000000,0.000122,0.000000,0.000535,0.000542
81,MySQL,Python,python-mysql-app-filter-1,0.000026,0.000122,0.000000,0.000147,0.000000,0.000761,0.000767
82,MySQL,Python,python-mysql-app-filter-1,0.000029,0.000443,0.000000,0.000480,0.000000,0.001094,0.001102
83,MySQL,Python,python-mysql-app-filter-1,0.000068,0.000400,0.000000,0.000429,0.000000,0.001822,0.001827
84,MySQL,Python,python-mysql-app-filter-1,0.000024,0.000185,0.000000,0.000209,0.000000,0.000777,0.000786
85,MySQL,Python,python-mysql-app-filter-1,0.000032,0.000123,0.000000,0.000143,0.000000,0.000873,0.000881
86,MySQL,Python,python-mysql-app-filter-1,0.000022,0.000103,0.000000,0.000124,0.000000,0.000984,0.001026
87,MySQL,Python,python-mysql-app-filter-1,0.000028,0.000169,0.000000,0.000193,0.000000,0.001087,0.001095
88,MySQL,Python,python-mysql-app-filter-1,0.000024,0.000116,0.000000,0.000139,0.000000,0.001190,0.001196
89,MySQL,Python,python-mysql-data-sort-1,0.000026,0.000364,0.000000,0.000390,0.000000,0.001131,0.001136
90,MySQL,Python,python-mysql-data-sort-1,0.000027,0.000150,0.000000,0.000173,0.000000,0.001136,0.001186
91,MySQL,Python,python-mysql-data-sort-1,0.000025,0.000481,0.000000,0.000519,0.000000,0.001301,0.001310
92,MySQL,Python,python-mysql-data-sort-1,0.000029,0.000158,0.000000,0.000180,0.000000,0.001062,0.001086
93,MySQL,Python,python-mysql-data-sort-1,0.000033,0.000289,0.000000,0.000325,0.000000,0.001360,0.001370
94,MySQL,Python,python-mysql-data-sort-1,0.000027,0.000160,0.000000,0.000188,0.000000,0.000767,0.000774
95,MySQL,Python,python-mysql-data-sort-1,0.000026,0.000513,0.000000,0.000550,0.000000,0.001115,0.001122
96,MySQL,Python,python-mysql-data-sort-1,0.000024,0.000118,0.000000,0.000138,0.000000,0.001125,0.001132
97,MySQL,Python,python-mysql-data-sort-1,0.000023,0.000111,0.000000,0.000131,0.000000,0.000782,0.000789
98,MySQL,Python,python-mysql-data-sort-1,0.000027,0.000447,0.000000,0.000475,0.000000,0.001109,0.001115
99,MySQL,Python,python-mysql-app-sort-1,0.000026,0.000460,0.000000,0.000505,0.000000,0.001367,0.001376
100,MySQL,Python,python-mysql-app-sort-1,0.000024,0.000113,0.000000,0.000132,0.000000,0.000815,0.000822
101,MySQL,Python,python-mysql-app-sort-1,0.000048,0.000183,0.000000,0.000215,0.000000,0.000960,0.000969
102,MySQL,Python,python-mysql-app-sort-1,0.000025,0.000411,0.000000,0.000442,0.000000,0.001060,0.001066
103,MySQL,Python,python-mysql-app-sort-1,0.000031,0.000450,0.000000,0.000487,0.000000,0.001161,0.001168
104,MySQL,Python,python-mysql-app-sort-1,0.000041,0.000219,0.000000,0.000264,0.000000,0.001874,0.001906
105,MySQL,Python,python-mysql-app-sort-1,0.000027,0.000106,0.000000,0.000130,0.000000,0.001334,0.001340
106,MySQL,Python,python-mysql-app-sort-1,0.000024,0.000120,0.000000,0.000141,0.000000,0.000845,0.000852
